Designator,Mid X,Mid Y,Rotation,Layer
D1,147.6375,-46.5319,90.0,top
D10,357.1875,-46.5319,90.0,top
D100,528.735,-104.775,0.0,top
D101,500.0625,-133.4475,90.0,top
D102,519.1125,-133.4475,90.0,top
D103,528.54,-123.825,0.0,top
D104,557.2125,-142.9725,90.0,top
D105,499.965,-142.875,0.0,top
D106,528.54,-142.875,0.0,top
D107,500.0625,-47.7225,90.0,top
D108,519.1125,-47.7225,90.0,top
D11,376.2375,-46.5319,90.0,top
D12,395.2875,-46.5319,90.0,top
D13,414.3375,-46.5319,90.0,top
D14,147.6375,-75.1069,90.0,top
D15,166.6875,-75.1069,90.0,top
D16,185.7375,-75.1069,90.0,top
D17,204.7875,-75.1069,90.0,top
D18,223.8375,-75.1069,90.0,top
D19,242.8875,-75.1069,90.0,top
D2,185.7375,-46.5319,90.0,top
D20,261.9375,-75.1069,90.0,top
D21,280.9875,-75.1069,90.0,top
D22,300.0375,-75.1069,90.0,top
D23,319.0875,-75.1069,90.0,top
D24,338.1375,-75.1069,90.0,top
D25,357.1875,-75.1069,90.0,top
D26,376.2375,-75.1069,90.0,top
D27,395.19,-66.675,0.0,top
D28,152.4,-96.2025,90.0,top
D29,176.2125,-95.3475,90.0,top
D3,204.7875,-46.5319,90.0,top
D30,195.2625,-95.1525,90.0,top
D31,214.3125,-95.3475,90.0,top
D32,233.3625,-95.3475,90.0,top
D33,252.4125,-95.3475,90.0,top
D34,271.4625,-95.3475,90.0,top
D35,290.5125,-95.3475,90.0,top
D36,309.5625,-95.3475,90.0,top
D37,328.6125,-95.3475,90.0,top
D38,347.6625,-95.3475,90.0,top
D39,366.7125,-95.3475,90.0,top
D4,223.8375,-46.5319,90.0,top
D40,385.7625,-95.3475,90.0,top
D41,157.1625,-114.3975,90.0,top
D42,180.975,-114.3975,90.0,top
D43,200.025,-114.3975,90.0,top
D44,219.075,-114.3975,90.0,top
D45,238.125,-114.3975,90.0,top
D46,257.175,-114.3975,90.0,top
D47,276.225,-114.3975,90.0,top
D48,295.275,-114.3975,90.0,top
D49,314.325,-114.3975,90.0,top
D5,242.8875,-46.5319,90.0,top
D50,333.375,-114.3975,90.0,top
D51,352.425,-114.3975,90.0,top
D52,371.475,-114.3975,90.0,top
D53,390.525,-114.2025,90.0,top
D54,414.3375,-104.8725,90.0,top
D55,147.54,-123.825,0.0,top
D56,185.7375,-133.4475,90.0,top
D57,204.7875,-133.4475,90.0,top
D58,223.8375,-133.4475,90.0,top
D59,242.8875,-133.4475,90.0,top
D6,271.4625,-46.5319,90.0,top
D60,261.9375,-133.4475,90.0,top
D61,280.9875,-133.4475,90.0,top
D62,300.0375,-133.4475,90.0,top
D63,319.0875,-133.4475,90.0,top
D64,338.1375,-133.4475,90.0,top
D65,357.1875,-133.4475,90.0,top
D66,376.2375,-133.4475,90.0,top
D67,395.19,-123.825,0.0,top
D68,157.1625,-152.4975,90.0,top
D69,180.975,-152.4975,90.0,top
D7,290.5125,-46.5319,90.0,top
D70,200.025,-152.4975,90.0,top
D71,219.075,-152.4975,90.0,top
D72,285.75,-152.4975,90.0,top
D73,352.425,-152.4975,90.0,top
D74,371.475,-152.4975,90.0,top
D75,390.525,-152.4975,90.0,top
D76,413.0875,-152.4975,90.0,top
D77,438.15,-47.7225,90.0,top
D78,457.2,-47.7225,90.0,top
D79,476.25,-47.7225,90.0,top
D8,309.5625,-46.5319,90.0,top
D80,438.15,-76.2975,90.0,top
D81,457.2,-76.2975,90.0,top
D82,476.25,-76.2975,90.0,top
D83,438.15,-95.3475,90.0,top
D84,457.2,-95.3475,90.0,top
